企业名称,所在镇街,主要类型,分类依据,主营产品,数据来源,证据片段
佛山市数据治理咨询有限公司,桂城街道,数据服务,企业数据治理咨询、实施、标准制定与质量管控服务,数据治理咨询服务、数据质量管控服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注数据治理咨询与落地实施服务
佛山市数字化转型服务有限公司,桂城街道,数据服务,制造业数字化转型咨询、方案规划、数据项目实施服务,数字化转型解决方案、数据规划实施服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供制造业数字化转型咨询服务
佛山市数据可视化服务有限公司,桂城街道,数据服务,大数据可视化设计、实施、数字孪生展示与交互交付服务,数据可视化服务、数字孪生交互服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供数据可视化设计与落地实施服务
佛山市行业数据解决方案有限公司,桂城街道,数据服务,行业数据解决方案定制、开发、项目实施与运维服务,行业数据解决方案、定制开发运维服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,定制行业数据解决方案并提供落地运维
佛山市数据产品实施运维有限公司,桂城街道,数据服务,大数据产品实施、运维、版本升级与技术支撑服务,数据产品运维服务、技术支持服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供大数据产品实施与运维支撑服务
广东鑫兴科技有限公司,桂城街道,数据应用,工业互联网平台建设、大数据产业运营、智慧城市场景落地,工业互联网平台、智慧城市标识解析服务,https://www.gdsinsing.com/,推动工业互联网与智慧城市场景数据应用
佛山市智慧城市解决方案有限公司,桂城街道,数据应用,智慧城市整体方案、数据能力与城市场景深度融合落地,智慧城市解决方案、智慧治理数据应用服务,https://www.fsdigitalspace.com/,提供智慧城市整体方案与行业数据应用
佛山市物联网数据应用有限公司,桂城街道,数据应用,物联网终端数据采集、平台集成与物联网行业场景应用,物联网数据应用系统、智慧物联平台集成服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注物联网数据采集与行业场景应用落地
佛山市智慧园区解决方案有限公司,桂城街道,数据应用,智慧园区建设、数据赋能园区管理与运营场景落地,智慧园区解决方案、园区数据应用运营服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注智慧园区建设与数据驱动运营应用
佛山市智慧医疗解决方案有限公司,桂城街道,数据应用,智慧医疗系统集成、医疗数据与医疗行业场景融合应用,智慧医疗系统集成、医疗数据应用健康服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供智慧医疗系统集成与医疗数据场景应用
数安时代科技股份有限公司南海分公司,桂城街道,数据安全,数据安全认证、隐私保护、数据加密与合规风控技术,数据安全认证系统、隐私保护平台,https://www.qcc.com/cmainmember/495d6b31b2ca6c19b465e5b77fbd636e,国家级专精特新企业，提供数据安全与隐私计算服务
广东云智安信息科技有限公司,桂城街道,数据安全,数据加密、安全防护、网络安全与数据防泄漏技术,数据加密安全系统、网络安全防护平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供数据加密与数据安全防护服务
广东网安科技有限公司,桂城街道,数据安全,网络安全、数据合规审计、安全监测与数据风险预警技术,网络安全审计系统、安全监测预警平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注数据合规审计与数据安全风险预警
佛山数港科技有限公司,桂城街道,数据基础设施,数据中心托管、机柜租赁、场地运维及底层算力承载服务,数据中心托管服务、机柜租赁运维服务,https://www.qixin.com/company/84c86735-1fbd-4143-9ea2-cc124f6747ae?section=business,主营数据中心机房托管与底层基础算力支撑
佛山市南海金瀚信息技术服务有限公司,狮山镇,数据资源,政务数据整理、汇聚、标注及政务数据加工处理服务,政务数据资源平台、数据处理服务,https://m.qcc.com/firm/20744a46367529471b62baf381974281.html,南海大数据关联企业，主营政务数据汇聚加工
北理新源（佛山）信息科技有限公司,狮山镇,数据资源,新能源汽车数据采集、存储、标注及车联网数据运营,车联网数据平台、车联网数据服务,https://m.jobui.com/company/16780915/,主营车联网数据采集、存储与行业数据运营
佛山市美云智数科技有限公司南海分部,狮山镇,数据应用,数据中台赋能工业制造、智能制造场景数据落地应用,工业数据中台、智能制造行业应用方案,https://m.zhipin.com/zhaopin/8c2535189b64a73d1HF509y_FQ~~,依托数据中台深耕智能制造行业数据应用
佛山市广宇科技有限公司,狮山镇,数据技术,智慧城市大数据平台、数据建模、可视化与数字孪生技术研发,智慧城市数据平台、数字孪生可视化系统,https://www.foshan.gov.cn/fszsj/gkmlpt/content/7/7137/mpost_7137712.html,数据产业重点企业，主营大数据平台与数字孪生技术
佛山市智联云数据科技有限公司,狮山镇,数据技术,大数据可视化、数字孪生、数据建模与智能交互技术,数字孪生可视化平台、大数据智能交互系统,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供大数据可视化与数字孪生技术研发
佛山市华创数据科技有限公司,狮山镇,数据技术,机器学习模型研发、数据挖掘、AI算法与智能预测技术,机器学习算法平台、智能预测分析系统,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注机器学习与大数据挖掘算法技术
广东中创智腾技术服务有限公司,狮山镇,数据服务,汽车数据咨询、数据治理、数据脱敏及合规落地服务,汽车数据治理服务、数据脱敏服务,https://www.qcc.com/creport/abd217a77bdfa213b0b4cdd02505fc07.html,提供行业数据治理与数据合规咨询服务
佛山市智能制造数据服务有限公司,狮山镇,数据服务,智能制造数据咨询、方案设计、系统集成与项目运维服务,智能制造数据服务、系统集成服务,https://www.gdiiic.com/,工业互联网平台关联企业，提供智能制造数据项目服务
佛山市大数据应用服务有限公司,狮山镇,数据服务,大数据应用定制开发、项目实施、运维与技术支撑服务,大数据应用服务、定制开发服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注大数据应用项目开发与落地运维
广东腾一科技有限公司,狮山镇,数据应用,工业互联网MOM平台、智能制造系统集成、工业数据场景落地,智能制造MOM平台、工业数据采集分析服务,http://m.gdtykj.net/col.jsp?id=118,为制造企业提供工业互联网与智能制造数据应用方案
佛山市工业互联网产业联盟,狮山镇,数据应用,工业互联网生态对接、标准建设、行业数据应用推广服务,工业互联网应用服务、产业生态建设服务,https://www.gdiiic.com/,推动工业互联网行业数据应用与生态落地
佛山市智能制造解决方案有限公司,狮山镇,数据应用,智能制造系统集成、工业数据赋能工厂数字化场景应用,智能制造系统集成、智能工厂数字化改造服务,https://www.gdiiic.com/,深耕智能制造行业数据场景应用落地
佛山市智慧交通解决方案有限公司,狮山镇,数据应用,智慧交通系统集成、交通数据与交通行业场景融合应用,智慧交通系统集成、交通数据应用出行服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供智慧交通系统集成与交通数据行业应用
广东数据安全技术有限公司,狮山镇,数据安全,数据脱敏、隐私保护、数据分级分类及数据安全治理技术,数据脱敏隐私保护系统、数据分级分类平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供数据脱敏、分级分类与隐私保护技术服务
广东安全数据科技有限公司,狮山镇,数据安全,数据备份、容灾恢复、数据存储安全与数据防护技术,数据备份灾难恢复系统、数据容灾安全存储平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注数据备份容灾与数据存储安全防护
佛山市云数据中心有限公司,狮山镇,数据基础设施,云计算平台建设、云主机、云存储、数据库底层算力支撑,云计算平台、云主机存储数据库服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供云计算平台及底层存储算力基础支撑
广东指南针信息技术有限公司,里水镇,数据资源,金融数据采集、整理、行业数据库建设与数据运营,金融大数据平台、金融数据服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,高新技术企业，主营金融行业数据资源建设与运营
广东新安怀电子商务有限公司,里水镇,数据资源,电商交易数据采集、整理、标注及电商数据运营分析,电商大数据平台、电商数据服务,https://blog.csdn.net/weixin_33889665/article/details/90363230,园区大数据企业，主营电商数据采集与运营
佛山市数智未来科技有限公司,里水镇,数据技术,商业智能BI工具研发、数据分析、数据建模与智能报表技术,BI智能分析工具、大数据智能报表系统,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注BI工具与数据分析建模技术研发
佛山市大数据创新科技有限公司,里水镇,数据技术,大数据平台架构、分布式计算、数据挖掘与AI集群技术,分布式大数据平台、AI集群计算系统,https://blog.csdn.net/weixin_33889665/article/details/90363230,主营大数据底层平台与分布式计算技术
佛山市智能数据科技有限公司,里水镇,数据技术,智能决策系统研发、大数据分析、数据建模与AI辅助决策技术,智能决策数据系统、AI辅助决策平台,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供智能决策系统与大数据分析技术
佛山市数据驱动科技有限公司,里水镇,数据技术,数据建模、AI算法应用、大数据分析与智能优化技术,AI数据建模平台、大数据智能优化系统,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注数据建模与AI算法技术研发
佛山市金融数据服务有限公司,里水镇,数据服务,金融数据咨询、运营、风控建模及合规落地服务,金融数据服务、风控建模服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注金融行业数据咨询与运营交付
佛山市医疗数据服务有限公司,里水镇,数据服务,医疗数据咨询、治理、隐私合规及项目落地服务,医疗数据服务、隐私保护服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供医疗行业数据治理与合规咨询服务
佛山市教育数据服务有限公司,里水镇,数据服务,教育数据咨询、运营、学情分析及数字化交付服务,教育数据服务、学情分析服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注教育行业数据咨询与运营服务
佛山市智慧应急解决方案有限公司,里水镇,数据应用,智慧应急系统集成、安全数据与应急行业场景融合应用,智慧应急系统集成、安全数据应用指挥服务,https://www.foshan.gov.cn/zwgk/zwdt/wqdt/nhq/content/post_5844816.html,提供智慧应急平台与行业数据场景应用
佛山市农业数据服务有限公司,里水镇,数据应用,农业数据整合、智慧农业方案规划与乡村数字化场景应用,农业数据服务、智慧农业方案服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,深耕智慧农业数据赋能乡村行业场景应用
广东数据合规科技有限公司,里水镇,数据安全,数据合规管理、风险评估、体系建设与认证服务,数据合规管理系统、风险评估平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供数据合规体系建设与风险评估安全服务
广东隐私计算科技有限公司,里水镇,数据安全,隐私计算、数据安全共享、联邦学习与多方安全计算技术,隐私计算安全共享系统、联邦学习平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注隐私计算与数据安全共享技术服务
佛山市大数据存储中心有限公司,里水镇,数据基础设施,分布式存储系统建设、运维、对象存储及底层数据存储支撑,分布式存储系统、对象块文件存储服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供分布式存储及底层数据存储基础支撑
广东凯捷商业数据处理服务有限公司,大沥镇,数据资源,商业数据采集、清洗、标注、治理及批量加工服务,商业数据处理服务、数据治理服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,主营商业数据全流程加工治理与数据资源处理
佛山市交通数据服务有限公司,大沥镇,数据资源,交通数据采集、整合、可视化分析及行业数据运营,交通数据服务、流量分析服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注交通行业数据汇聚分析与数据资源运营
佛山市云数智能科技有限公司,大沥镇,数据技术,云计算与大数据融合、数据建模、AI分析及云原生技术研发,云大数据融合平台、云原生AI分析系统,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供云原生与大数据融合算法技术
佛山市数联智能科技有限公司,大沥镇,数据技术,工业互联网数据建模、挖掘分析、智能控制算法技术,工业互联网智能平台、工业数据智能控制系统,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注工业互联网数据建模与智能控制技术
佛山市政务数据咨询有限公司,大沥镇,数据服务,政务数据治理咨询、数字化转型规划、数据共享方案服务,政务数据咨询服务、数据共享开放服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供政务数据治理咨询与规划落地服务
佛山市企业数据咨询有限公司,大沥镇,数据服务,企业数据资产盘点、治理咨询、价值评估与运营规划服务,企业数据咨询服务、数据资产评估服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注企业数据资产盘点与治理咨询服务
佛山市数据运营服务有限公司,大沥镇,数据服务,大数据平台运营维护、数据更新、生态运营与用户支撑服务,数据运营服务、平台维护服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供大数据平台日常运营与生态服务
佛山市BI报表服务有限公司,大沥镇,数据服务,商业智能BI报表设计、开发、定制及可视化交付服务,BI报表服务、定制可视化服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注BI报表定制开发与可视化落地服务
佛山市大数据培训服务有限公司,大沥镇,数据服务,大数据技术培训、咨询、人才培养与技能认证服务,大数据培训服务、人才培养服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供大数据人才培训与技术咨询服务
佛山市环境数据服务有限公司,大沥镇,数据应用,环境数据整合、治理分析、智慧环保行业场景落地应用,环境数据服务、监测分析服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,深耕智慧环保数据赋能行业场景应用
佛山市工业数据服务有限公司,大沥镇,数据应用,工业数据整合、数字化转型规划、智能制造行业场景应用,工业数据服务、智能制造方案服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,依托数据能力赋能工业制造数字化场景应用
广东数据治理安全科技有限公司,大沥镇,数据安全,数据治理安全、权限管理、访问控制与数据安全审计技术,数据治理安全权限系统、访问控制审计平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供数据权限管控与安全审计防护服务
广东工业数据安全科技有限公司,大沥镇,数据安全,工业数据安全防护、审计、加密及工控数据安全技术,工业数据安全防护系统、工控安全审计平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注工业领域数据安全防护与审计技术
佛山市边缘计算数据中心有限公司,大沥镇,数据基础设施,边缘计算节点建设、运维、边缘算力、存储与网络底层支撑,边缘计算节点、边缘算力存储网络服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供边缘计算节点及边缘底层算力基础支撑
佛山市数据资产评估服务有限公司,丹灶镇,数据资源,数据资产评估、运营咨询、价值挖掘与数据资产市场化服务,数据资产评估服务、价值挖掘服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,主营数据资产估值、运营咨询与数据资源价值转化
中科云图（佛山）信息科技有限公司,丹灶镇,数据技术,遥感大数据分析、AI智能解译、空间数据建模与地理信息技术,遥感大数据平台、空间AI分析系统,https://www.foshan.gov.cn/zwgk/zwdt/wqdt/nhq/content/post_5844816.html,应急产业基地企业，主营遥感大数据与空间建模技术
乾行达（佛山）科技有限公司,丹灶镇,数据技术,工业数据建模、智能优化、安全大数据分析与风险预警技术,工业智能优化平台、安全大数据预警系统,https://www.foshan.gov.cn/zwgk/zwdt/wqdt/nhq/content/post_5844816.html,安全应急产业企业，专注工业大数据分析技术
思百危（佛山）科技有限公司,丹灶镇,数据技术,安全大数据分析、风险预警、数据建模与应急智能算法技术,安全大数据预警平台、应急智能分析系统,https://www.foshan.gov.cn/zwgk/zwdt/wqdt/nhq/content/post_5844816.html,应急产业入驻企业，主营安全大数据智能分析技术
佛山市数据安全咨询有限公司,丹灶镇,数据服务,数据安全合规咨询、风险评估、隐患排查与防护方案交付,数据安全咨询服务、风险排查服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供数据安全合规咨询与风险评估落地服务
佛山市数据合规服务有限公司,丹灶镇,数据服务,数据合规审计、治理整改、体系建设与认证落地服务,数据合规服务、合规体系建设服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注数据合规审计与体系建设咨询服务
佛山市数据交易服务有限公司,丹灶镇,数据服务,数据交易咨询、供需撮合、合规审核与资产定价服务,数据交易服务、合规审核服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供数据交易撮合与合规咨询运营服务
佛山市物联网数据服务有限公司,丹灶镇,数据应用,物联网数据整合、治理分析、物联网行业场景赋能应用,物联网数据服务、采集分析服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,面向物联网行业提供数据赋能场景落地应用
佛山市数字化咨询服务有限公司,丹灶镇,数据服务,企业数字化转型全流程咨询、规划设计、方案落地辅导服务,数字化全流程咨询服务、规划落地服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供企业数字化转型咨询与规划落地服务
广东政务数据安全科技有限公司,丹灶镇,数据安全,政务数据加密、安全防护、脱敏处理与合规管控技术,政务数据安全加密系统、脱敏合规平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注政务领域数据加密脱敏与安全合规防护
广东金融数据安全科技有限公司,丹灶镇,数据安全,金融数据安全合规、防护加密、风控审计与隐私保护技术,金融数据安全合规系统、风控安全加密平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,深耕金融行业数据安全合规与隐私保护技术
佛山市算力服务中心有限公司,丹灶镇,数据基础设施,算力基础设施建设、算力调度、租赁、超算及算力网络支撑,算力基础设施、算力租赁超算网络服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供公共算力建设、调度及底层算力基础支撑
佛山市智慧城市数据服务有限公司,西樵镇,数据应用,智慧城市数据整合、运营服务、平台建设与城市场景落地,智慧城市数据服务、平台建设服务,https://www.fsdigitalspace.com/,依托数据能力深耕智慧城市行业场景应用
广东人工智能数据安全科技有限公司,西樵镇,数据技术,AI模型安全防护、算法加密、对抗防御与大数据安全技术,AI数据安全模型防护系统、算法加密对抗防御平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注AI与大数据安全算法技术研发
广东大数据安全科技有限公司,西樵镇,数据技术,大数据平台安全防护、安全审计、漏洞监测与修复技术,大数据平台安全防护系统、安全监测审计平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供大数据平台安全防护与审计技术服务
广东医疗数据安全科技有限公司,西樵镇,数据服务,医疗数据隐私保护、加密脱敏、合规咨询与落地服务,医疗数据安全隐私系统、脱敏合规加密平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供医疗行业数据安全合规咨询与落地服务
广东物联网数据安全科技有限公司,西樵镇,数据服务,物联网数据安全防护、加密终端防护、传输安全合规服务,物联网数据安全防护系统、终端传输安全加密平台,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,专注物联网行业数据安全防护与合规咨询
腾龙湾区数据中心（佛山）有限公司,西樵镇,数据基础设施,大型数据中心建设、算力出租、云计算及存储底层支撑,云计算数据中心、算力存储服务,https://fsdr.foshan.gov.cn/fsfgj/fhj/cydt/ysfn/qt/sjyszc/index.html,大型算力数据中心，提供区域底层算力与存储基础支撑
佛山联通南海分公司,西樵镇,数据基础设施,通信网络、数据传输、云服务及IDC托管底层基础支撑,通信数据平台、云IDC托管服务,https://www.10010.com/,提供数据传输、云服务及通信底层基础设施支撑
中国移动南海分公司,西樵镇,数据基础设施,数据传输、云计算、边缘计算及算力网络底层承载,云通信服务、边缘算力网络服务,https://www.10086.cn/,提供通信传输、云及边缘计算底层算力基础设施
中国电信南海分公司,九江镇,数据基础设施,云计算、数据中心IDC、托管算力及网络底层基础支撑,云平台、数据中心IDC服务,https://www.10000.com/,提供云、数据中心及通信网络底层数据基础设施
佛山市绿色数据中心有限公司,九江镇,数据基础设施,绿色节能数据中心建设、运维、光伏储能及节能算力承载,绿色节能数据中心、光伏余热节能改造服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供绿色低碳数据中心建设及底层算力运维支撑
